r_lat,r_lng,neighborhood,locality,county
41.892,-87.612,Streeterville,Chicago,Cook County
41.912,-87.627,Lincoln Park,Chicago,Cook County
41.881,-87.617,Chicago Loop,Chicago,Cook County
41.901,-87.624,Streeterville,Chicago,Cook County
41.926,-87.631,Lincoln Park,Chicago,Cook County
41.881,-87.624,Chicago Loop,Chicago,Cook County
41.912,-87.635,Old Town Triangle,Chicago,Cook County
41.918,-87.636,Old Town Triangle,Chicago,Cook County
41.964,-87.638,Uptown,Chicago,Cook County
41.916,-87.635,Old Town Triangle,Chicago,Cook County
41.938,-87.644,Lake View East,Chicago,Cook County
41.867,-87.615,Near South Side,Chicago,Cook County
41.868,-87.623,Chicago Loop,Chicago,Cook County
41.933,-87.636,Lake View East,Chicago,Cook County
41.94,-87.653,Lake View East,Chicago,Cook County
41.93,-87.643,Lincoln Park,Chicago,Cook County
41.887,-87.613,Chicago Loop,Chicago,Cook County
41.941,-87.639,Lake View East,Chicago,Cook County
41.922,-87.644,Lincoln Park,Chicago,Cook County
41.937,-87.637,Lake View East,Chicago,Cook County
41.931,-87.644,Lincoln Park,Chicago,Cook County
41.926,-87.639,Lincoln Park,Chicago,Cook County
41.891,-87.627,River North,Chicago,Cook County
41.889,-87.639,River North,Chicago,Cook County
41.894,-87.629,River North,Chicago,Cook County
41.89,-87.65,West Town,Chicago,Cook County
41.909,-87.678,West Town,Chicago,Cook County
41.897,-87.629,Rush & Division,Chicago,Cook County
41.944,-87.649,Lake View East,Chicago,Cook County
41.903,-87.668,West Town,Chicago,Cook County
41.882,-87.649,West Loop,Chicago,Cook County
41.891,-87.632,River North,Chicago,Cook County
41.895,-87.634,River North,Chicago,Cook County
41.89,-87.634,River North,Chicago,Cook County
41.949,-87.649,Lake View East,Chicago,Cook County
41.929,-87.649,Sheffield & DePaul,Chicago,Cook County
41.944,-87.664,Lake View,Chicago,Cook County
41.882,-87.641,West Loop,Chicago,Cook County
41.945,-87.655,Lake View East,Chicago,Cook County
41.907,-87.635,Near North Side,Chicago,Cook County
41.867,-87.626,Near South Side,Chicago,Cook County
41.899,-87.63,Rush & Division,Chicago,Cook County
41.924,-87.646,Lincoln Park,Chicago,Cook County
41.903,-87.634,Near North,Chicago,Cook County
41.903,-87.631,Rush & Division,Chicago,Cook County
41.91,-87.648,Goose Island,Chicago,Cook County
41.894,-87.623,Streeterville,Chicago,Cook County
41.918,-87.652,Lincoln Park,Chicago,Cook County
41.948,-87.664,Wrigleyville,Chicago,Cook County
41.886,-87.651,Fulton Market District,Chicago,Cook County
41.929,-87.654,Sheffield & DePaul,Chicago,Cook County
41.866,-87.607,Near South Side,Chicago,Cook County
41.91,-87.63,Gold Coast,Chicago,Cook County
41.893,-87.617,Streeterville,Chicago,Cook County
41.946,-87.646,Lake View East,Chicago,Cook County
41.926,-87.654,Sheffield & DePaul,Chicago,Cook County
41.883,-87.641,West Loop,Chicago,Cook County
41.908,-87.632,Near North Side,Chicago,Cook County
41.89,-87.63,River North,Chicago,Cook County
41.93,-87.64,Lincoln Park,Chicago,Cook County
41.954,-87.654,Lake View East,Chicago,Cook County
41.931,-87.639,Lincoln Park,Chicago,Cook County
41.936,-87.653,Lake View East,Chicago,Cook County
41.984,-87.652,Edgewater,Chicago,Cook County
41.932,-87.653,Sheffield & DePaul,Chicago,Cook County
41.949,-87.646,Lake View East,Chicago,Cook County
41.889,-87.644,West Town,Chicago,Cook County
41.91,-87.67,West Town,Chicago,Cook County
41.872,-87.63,Chicago Loop,Chicago,Cook County
41.892,-87.621,Streeterville,Chicago,Cook County
41.92,-87.649,Lincoln Park,Chicago,Cook County
41.94,-87.64,Lake View East,Chicago,Cook County
41.873,-87.624,Chicago Loop,Chicago,Cook County
41.884,-87.625,Chicago Loop,Chicago,Cook County
41.886,-87.624,Chicago Loop,Chicago,Cook County
41.894,-87.642,River North,Chicago,Cook County
41.924,-87.636,Lincoln Park,Chicago,Cook County
41.9,-87.63,Rush & Division,Chicago,Cook County
41.954,-87.648,Lake View East,Chicago,Cook County
41.922,-87.654,Sheffield & DePaul,Chicago,Cook County
41.882,-87.64,West Loop,Chicago,Cook County
41.94,-87.65,Lake View East,Chicago,Cook County
41.878,-87.624,Chicago Loop,Chicago,Cook County
41.902,-87.628,Gold Coast,Chicago,Cook County
41.885,-87.628,Chicago Loop,Chicago,Cook County
41.891,-87.619,Streeterville,Chicago,Cook County
41.973,-87.668,Uptown,Chicago,Cook County
41.933,-87.648,Lake View East,Chicago,Cook County
41.953,-87.65,Lake View East,Chicago,Cook County
41.92,-87.63,Lincoln Park,Chicago,Cook County
41.912,-87.632,Lincoln Park,Chicago,Cook County
41.93,-87.708,Logan Square,Chicago,Cook County
41.8,-87.595,Hyde Park,Chicago,Cook County
41.94,-87.645,Lake View East,Chicago,Cook County
41.94,-87.659,Lake View,Chicago,Cook County
41.88,-87.63,Chicago Loop,Chicago,Cook County
41.911,-87.639,Near North Side,Chicago,Cook County
41.879,-87.64,West Loop,Chicago,Cook County
41.922,-87.639,Lincoln Park,Chicago,Cook County
41.962,-87.655,Uptown,Chicago,Cook County
41.897,-87.636,Near North,Chicago,Cook County
41.916,-87.677,Bucktown,Chicago,Cook County
41.932,-87.659,Lincoln Park,Chicago,Cook County
41.969,-87.674,Ravenswood,Chicago,Cook County
41.9,-87.62,Streeterville,Chicago,Cook County
41.907,-87.626,Gold Coast,Chicago,Cook County
41.951,-87.659,Wrigleyville,Chicago,Cook County
41.898,-87.643,Cabrini-Green,Chicago,Cook County
41.949,-87.655,Lake View East,Chicago,Cook County
41.923,-87.697,Logan Square,Chicago,Cook County
41.887,-87.626,Chicago Loop,Chicago,Cook County
41.871,-87.626,Chicago Loop,Chicago,Cook County
41.95,-87.65,Lake View East,Chicago,Cook County
41.897,-87.622,Streeterville,Chicago,Cook County
41.892,-87.648,West Town,Chicago,Cook County
41.936,-87.648,Lake View East,Chicago,Cook County
41.89,-87.62,Streeterville,Chicago,Cook County
41.939,-87.664,Lake View,Chicago,Cook County
41.886,-87.631,Chicago Loop,Chicago,Cook County
41.95,-87.66,Wrigleyville,Chicago,Cook County
41.891,-87.635,River North,Chicago,Cook County
41.911,-87.653,Lincoln Park,Chicago,Cook County
41.896,-87.626,River North,Chicago,Cook County
41.91,-87.68,West Town,Chicago,Cook County
41.929,-87.664,Lincoln Park,Chicago,Cook County
41.897,-87.631,Rush & Division,Chicago,Cook County
41.908,-87.673,West Town,Chicago,Cook County
41.88,-87.62,Chicago Loop,Chicago,Cook County
41.914,-87.649,Lincoln Park,Chicago,Cook County
41.903,-87.674,West Town,Chicago,Cook County
41.913,-87.681,West Town,Chicago,Cook County
41.794,-87.601,Hyde Park,Chicago,Cook County
41.795,-87.581,East Hyde Park,Chicago,Cook County
41.925,-87.666,Lincoln Park,Chicago,Cook County
41.99,-87.66,Edgewater,Chicago,Cook County
41.881,-87.63,Chicago Loop,Chicago,Cook County
41.89,-87.61,Streeterville,Chicago,Cook County
