country,capital,id,area,population,highest point,neighboring countries,continent
panama,panama city,67,29119,4100000,11401,2,north america
central african republic,bangui,93,240536,5600000,4659,6,africa
dem republic of congo,kinshasa,94,905358,95400000,16762,9,africa
congo,brazzavile,95,132048,6100000,3346,5,africa
burundi,gitega,114,10747,12800000,8806,3,africa
rwanda,kigali,115,10169,13200000,14787,4,africa
colombia,bogota,68,440833,52700000,18799,5,South America
Tunisia,Tunis,131,63170,11900000,5066,2,Africa
Djibouti,Djibouti,119,8958,1000000,6654,3,Africa
algeria,algiers,130,919595,45400000,9852,6,africa
libya,tripoli,132,679365,6900000,7438,6,africa
egypt,cairo,133,387050,104500000,8625,3,africa
yemen,sanaaaden,134,203851,31900000,12028,2,asia
australia,canberra,193,2969918,26800000,7310,0,oceania
Mali,Bamako,125,478843,2240000,3789,7,Africa
Iraq,Baghdad,146,169236,43300000,11847,6,Asia
New Zealand,Wellington,194,104428,5300000,12218,0,Oceania
Hungary,Budapest,11,35918,9600000,3327,7,Europe
Romania,Bucharest,10,92046,19100000,8346,5,Europe
Federated States of Micronesia,Palikir,182,271,106000,2566,0,Oceania
Marshall Islands,Majuro,183,70,42000,33,0,Oceania
Nauru,Yaren,184,8,12000,213,0,Oceania
Kiribati,Tarawa,185,313,121000,266,0,Oceania
Samoa,Apia,186,1097,206000,6093,0,Oceania
Tuvalu,Funafuti,187,10,11000,16,0,Oceania,
Lebanon,Beirut,143,4036,5500000,10131,2,Asia
Netherlands,Amsterdam,31,16158,18000000,1056,2,Europe
Germany,Berlin,32,138067,84600000,9718,9,Europe
Denmark,Copenhagen,33,16639,6000000,561,1,Europe
Poland,Warsaw,34,120727,37600000,8199,7,Europe
Sweden,Stockholm,35,173861,10500000,6880,2,Europe
Norway,Oslo,36,125022,5600000,8100,3,Europe
barbados,bridgetown,48,166,268000,1102,0,north america
saint vincent & the grenadines,kingstown,47,150,111000,4049,0,north america
grenada,saint george's,46,133,113000,2756,0,north america
lithuania,vilnius,40,25212,2900000,965,4,europe
belarus,minsk,41,80155,9200000,1135,5,europe
ukraine,kyiv,42,233014,36700000,6762,7,europe
chad,n'djamena,124,495757,17400000,11302,6,africa
niger,niamey,125,489193,25400000,6634,7,africa
United Arab Emirates,Abu Dhabi,136,32278,9300000,6266,2,Asia
Palau,Ngerulmud,181,177,17000,794,0,Oceania
Japan,Tokyo,180,145921,124000000,12388,0,Asia
South Korea,Seoul,179,38691,51300000,6388,1,Asia
North Korea,Pyongyang,178,46541,25700000,9003,3,Asia
Mongolia,Ulaanbaatar,177,603909,3500000,14350,2,Asia
China,Beijing,176,3705421,1410000000,29032,14,Asia
Qatar,doha,137,4473,2700000,338,1,asia
bahrain,manama,138,295,1600000,440,0,asia
saudi arabia,riyadh,139,830003,32200000,9843,7,asia
sao tome & principe,sao tome,98,372,215000,6640,0,africa
angola,luanda,99,481355,34100000,8596,4,africa
Malta,Valleta,20,122,520000,830,0,Europe
France,Paris,22,247368,68400000,15781,8,Europe
Andorra,Andorra la Vella,23,181,85000,9652,2,Europe
Spain,Madrid,24,195366,48600000,12188,5,Europe
Portugal,Lisbon,25,35556,10500000,7713,1,Europe
Madagascar,Antananarivo,106,226659,26900000,9436,0,Africa
Mauritius,Port Louis,107,788,1300000,2717,0,Africa
Kuwait,Kuwait City,140,6880,4700000,1004,2,Asia
Israel,Jerusalem,141,8019,9900000,3963,4,Asia
United Kindom,London,27,93628,67600000,4413,1,Europe
Ireland,Dublin,26,27133,5300000,3406,1,Europe
Mozambique,Maputo,105,309497,32400000,7992,6,Africa
Eswatini,Lobamba,104,6704,1200000,6109,2,Africa
guinea,conakry,83,94926,13300000,5748,6,africa
the gambia,banjul,81,4361,2400000,295,1,africa
antigua & barbuda,saint john's,51,171,94000,1319,0,north america
guinea-bissau,bissau,82,13948,1800000,984,2,africa
dominican republic, santo domingo,53,18792,10800000,10164,1,North America
saint kitts & nevis,basseterre,52,101,47000,3793,0,north america
Czech Republic,Prague,13,30450,10900000,5259,4,Europe
Slovakia,Bratislava,12,18933,5400000,8711,5,Europe
Austria,Vienna,14,32383,9200000,12461,8,Europe
morocco,rabat,129,172415,37000000,13671,3,africa
cape verde,praia,128,1557,491000,9281,0,africa
Nambia,Windhoek,100,318773,3000000,8442,4,Africa
Singapore,Singapore,168,278,5900000,538,0,Asia
